"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","603","test_simulator_run_group_stage_structure","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","21","Código duplicado exacto → 409","tests","2026-06-18","passed","2026-06-18","","test_teams","",""
"","582","test_simulator_run_generates_32_teams","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","734","test_simulator_run_champion_is_final_winner","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","624","test_simulator_run_standings_goal_diffs_correct","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","15","Código en minúsculas se normaliza a mayúsculas","tests","2026-06-18","passed","2026-06-18","","test_teams","",""
"","36","test_get_player","tests","2026-06-18","passed","2026-06-18","","test_players","",""
"","604","test_simulator_run_qualified_teams_unique","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","8","test_player_abm_update_nonexistent","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","9","test_team_abm_empty_list","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","747","test_simulator_run_third_place_not_finalists","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","2054","SMK-06: CSS responsive para mobile 375px","tests","2026-06-18","passed","2026-06-18","","test_frontend_smoke","",""
"","8","test_team_abm_update_nonexistent","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","18","Código duplicado case-insensitive → 409","tests","2026-06-18","passed","2026-06-18","","test_teams","",""
"","36","test_create_player","tests","2026-06-18","passed","2026-06-18","","test_players","",""
"","564","test_dashboard_avg_goals_formula","tests","2026-06-18","passed","2026-06-18","","test_dashboard","",""
"","541","test_dashboard_after_simulation_returns_200","tests","2026-06-18","passed","2026-06-18","","test_dashboard","",""
"","10","test_create_player_team_not_found","tests","2026-06-18","passed","2026-06-18","","test_players","",""
"","40","test_update_player","tests","2026-06-18","passed","2026-06-18","","test_players","",""
"","783","test_simulator_run_teams_have_players","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","8","test_player_abm_empty_list","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","2098","SMK-01: La aplicación carga correctamente","tests","2026-06-18","passed","2026-06-18","","test_frontend_smoke","",""
"","833","test_simulator_run_reuses_existing_32_teams","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","35","Eliminar equipo correctamente","tests","2026-06-18","passed","2026-06-18","","test_teams","",""
"","688","test_simulator_run_partial_teams_generates_rest","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","5","Nombre vacío → 422","tests","2026-06-18","passed","2026-06-18","","test_teams","",""
"","10","Crear equipo correctamente","tests","2026-06-18","passed","2026-06-18","","test_teams","",""
"","8","Equipo inexistente → 404","tests","2026-06-18","passed","2026-06-18","","test_teams","",""
"","8","test_player_abm_list_by_nonexistent_team","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","764","test_simulator_run_returns_200","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","607","test_simulator_run_group_even_distribution","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","19","test_player_abm_invalid_position","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","28","test_player_abm_update_invalid_team","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","685","test_dashboard_multiple_simulations","tests","2026-06-18","passed","2026-06-18","","test_dashboard","",""
"","9","test_get_player_not_found","tests","2026-06-18","passed","2026-06-18","","test_players","",""
"","6","Name ausente del body → 422","tests","2026-06-18","passed","2026-06-18","","test_teams","",""
"","589","test_dashboard_top_scorer_exists_in_db","tests","2026-06-18","passed","2026-06-18","","test_dashboard","",""
"","598","test_dashboard_avg_goals_positive","tests","2026-06-18","passed","2026-06-18","","test_dashboard","",""
"","785","test_simulator_run_multiple_runs","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","492","test_simulator_run_match_scores_in_range","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","56","test_list_players_by_team","tests","2026-06-18","passed","2026-06-18","","test_players","",""
"","6","Code con tipo numérico → 422","tests","2026-06-18","passed","2026-06-18","","test_teams","",""
"","540","test_simulator_run_teams_assigned_groups","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","6","Código de 4 caracteres → 422","tests","2026-06-18","passed","2026-06-18","","test_teams","",""
"","547","test_dashboard_all_metrics_positive","tests","2026-06-18","passed","2026-06-18","","test_dashboard","",""
"","596","test_simulator_run_knockout_no_draws","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","1312","test_simulator_run_exact_32_teams_no_players","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","8","test_player_abm_delete_nonexistent","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","26","test_player_abm_update_invalid_position","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","26","test_create_player_invalid_position","tests","2026-06-18","passed","2026-06-18","","test_players","",""
"","10","test_team_abm_delete_nonexistent","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","31","test_team_abm_update_duplicate_code","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","502","test_simulator_run_empty_db_autogenerates","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","6","Código de 2 caracteres → 422","tests","2026-06-18","passed","2026-06-18","","test_teams","",""
"","11","test_player_abm_create_without_team","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","7","Código vacío → 422","tests","2026-06-18","passed","2026-06-18","","test_teams","",""
"","567","test_simulator_run_standings_ordered_by_pts","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","558","test_simulator_run_all_match_teams_exist_in_db","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","484","test_dashboard_total_matches_is_64","tests","2026-06-18","passed","2026-06-18","","test_dashboard","",""
"","568","test_dashboard_top_scorer_positive_goals","tests","2026-06-18","passed","2026-06-18","","test_dashboard","",""
"","569","test_simulator_run_standings_points_valid","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","35","Listar todos los equipos","tests","2026-06-18","passed","2026-06-18","","test_teams","",""
"","46","test_list_players","tests","2026-06-18","passed","2026-06-18","","test_players","",""
"","25","test_dashboard_no_simulation_returns_404","tests","2026-06-18","passed","2026-06-18","","test_dashboard","",""
"","19","Obtener equipo por ID","tests","2026-06-18","passed","2026-06-18","","test_teams","",""
